code,name,country,route_count,importance,hub_count
KD,KD Avia,Russia,0,0.0,0
3K,Jetstar Asia Airways,Singapore,36,0.0144927536,3
EG,Japan Asia Airways,Japan,18,0.0072463768,3
KV,Kavminvodyavia,Russia,0,0.0,0
7K,Kogalymavia Air Company,Russia,0,0.0,0
IT,Kingfisher Airlines,India,0,0.0,0
JF,Jetairfly,Belgium,0,0.0,0
7B,Krasnojarsky Airlines,Russia,0,0.0,0
4M,LAN Argentina,Argentina,10,0.0040257649,3
LR,LACSA,Costa Rica,24,0.0096618357,3
XO,LTE International Airways,Spain,0,0.0,0
LU,LAN Express,Chile,0,0.0,0
NG,Lauda Air,Austria,0,0.0,0
GW,Kuban Airlines,Russia,0,0.0,0
L3,LTU Austria,Austria,0,0.0,0
HE,Luftfahrtgesellschaft Walter,Germany,0,0.0,0
IN,MAT Macedonian Airlines,Macedonia,0,0.0,0
LI,Leeward Islands Air Transport,Antigua and Barbuda,62,0.0249597424,3
MJ,L,Argentina,52,0.0209339775,3
TF,Malmö Aviation,Sweden,36,0.0144927536,3
MA,Malév,Hungary,0,0.0,0
CC,Macair Airlines,Australia,13,0.0052334944,3
R5,Malta Air Charter,Malta,0,0.0,0
JT,Lion Mentari Airlines,Indonesia,251,0.1010466989,5
RI,Mandala Airlines,Indonesia,16,0.0064412238,3
8M,Maxair,Sweden,12,0.0048309179,3
DM,Maersk,Denmark,0,0.0,0
IG,Meridiana,Italy,173,0.0696457327,3
XJ,Mesaba Airlines,United States,0,0.0,0
MZ,Merpati Nusantara Airlines,Indonesia,0,0.0,0
JE,Mango,South Africa,18,0.0072463768,3
MY,Midwest Airlines (Egypt),Egypt,32,0.0128824477,3
2M,Moldavian Airlines,Moldova,0,0.0,0
3R,Moskovia Airlines,Russia,20,0.0080515298,3
YM,Montenegro Airlines,Montenegro,26,0.0104669887,3
VZ,MyTravel Airways,United Kingdom,0,0.0,0
ZB,Monarch Airlines,United Kingdom,210,0.0845410628,5
JI,Midway Airlines,United States,0,0.0,0
M9,Motor Sich,Ukraine,6,0.0024154589,3
UE,Nasair,Eritrea,16,0.0064412238,3
UB,Myanma Airways,Myanmar,0,0.0,0
CE,Nationwide Airlines,South Africa,10,0.0040257649,3
MW,Maya Island Air,Belize,19,0.0076489533,3
8I,Myway Airlines,Italy,6,0.0024154589,3
HG,Niki,Austria,111,0.0446859903,3
NW,Northwest Airlines,United States,0,0.0,0
2N,NextJet,Sweden,41,0.0165056361,3
1I,Novair,Sweden,0,0.0,0
O6,Oceanair,Brazil,104,0.0418679549,3
U7,Northern Dene Airways,Canada,16,0.0064412238,3
J3,Northwestern Air,Canada,18,0.0072463768,3
OA,Olympic Airlines,Greece,110,0.0442834138,3
R2,Orenburg Airlines,Russia,9,0.0036231884,3
O8,Oasis Hong Kong Airlines,Hong Kong,0,0.0,0
QO,Origin Pacific Airways,New Zealand,0,0.0,0
OX,Orient Thai Airlines,Thailand,6,0.0024154589,3
OL,Ostfriesische Lufttransport,Germany,0,0.0,0
8Q,Onur Air,Turkey,36,0.0144927536,3
9Q,PB Air,Thailand,4,0.001610306,3
O7,Ozjet Airlines,Australia,0,0.0,0
PU,PLUNA,Uruguay,0,0.0,0
LW,Pacific Wings,United States,10,0.0040257649,3
PV,PAN Air,Spain,6,0.0024154589,3
BL,Jetstar Pacific,Vietnam,18,0.0072463768,3
PI,Piedmont Airlines (1948-1989),United States,14,0.0056360709,3
Q8,Pacific East Asia Cargo Airlines,Philippines,14,0.0056360709,3
U4,PMTair,Cambodia,0,0.0,0
I7,Paramount Airways,India,0,0.0,0
O2,Oceanic Airlines,Guinea,0,0.0,0
BK,Potomac Air,United States,106,0.0426731079,3
KS,Peninsula Airways,United States,28,0.0112721417,3
9E,Pinnacle Airlines,United States,46,0.0185185185,3
RW,Republic Airlines,United States,0,0.0,0
FN,Regional Airlines,Morocco,0,0.0,0
R6,RACSA,Guatemala,0,0.0,0
RH,Republic Express Airlines,Indonesia,0,0.0,0
NL,Shaheen Air International,Pakistan,64,0.0257648953,3
YS,Régional,France,0,0.0,0
RD,Ryan International Airlines,United States,0,0.0,0
5M,Sibaviatrans,Russia,2,0.000805153,2
SI,Skynet Airlines,Ireland,20,0.0080515298,3
FT,Siem Reap Airways,Cambodia,0,0.0,0
N5,Skagway Air Service,United States,0,0.0,0
5G,Skyservice Airlines,Canada,2,0.000805153,2
ZS,Sama Airlines,Saudi Arabia,0,0.0,0
SJ,Sriwijaya Air,Indonesia,106,0.0426731079,3
FS,Servicios de Transportes A,Argentina,17,0.0068438003,3
7G,Star Flyer,Japan,6,0.0024154589,3
SR,Swissair,Switzerland,0,0.0,0
WV,Swe Fly,Sweden,0,0.0,0
NE,SkyEurope,Slovakia,0,0.0,0
JZ,Skyways Express,Sweden,0,0.0,0
S3,Santa Barbara Airlines,Venezuela,6,0.0024154589,3
AL,Skywalk Airlines,United States,0,0.0,0
MI,SilkAir,Singapore,93,0.0374396135,3
6W,Saratov Aviation Division,Russia,10,0.0040257649,3
S5,Shuttle America,United States,15,0.0060386473,3
JK,Spanair,Spain,0,0.0,0
6J,Skynet Asia Airways,Japan,0,0.0,0
HZ,Sat Airlines,Kazakhstan,17,0.0068438003,3
A4,Southern Winds Airlines,Argentina,23,0.0092592593,3
NB,Sterling Airlines,Denmark,0,0.0,0
EQ,TAME,Ecuador,48,0.0193236715,3
TT,Tiger Airways Australia,Australia,42,0.0169082126,3
T2,Thai Air Cargo,Thailand,0,0.0,0
TR,Tiger Airways,Singapore,76,0.0305958132,3
FQ,Thomas Cook Airlines,Belgium,0,0.0,0
MT,Thomas Cook Airlines,United Kingdom,0,0.0,0
BY,Thomsonfly,United Kingdom,0,0.0,0
3P,Tiara Air,Aruba,6,0.0024154589,3
QT,TAMPA,Colombia,0,0.0,0
GE,TransAsia Airways,Taiwan,92,0.037037037,3
9T,Transwest Air,Canada,0,0.0,0
TL,Trans Mediterranean Airlines,Lebanon,33,0.0132850242,3
UN,Transaero Airlines,Russia,300,0.1207729469,5
8R,TRIP Linhas A,Brazil,35,0.0140901771,3
PZ,TAM Mercosur,Paraguay,18,0.0072463768,3
3T,Turan Air,Azerbaijan,0,0.0,0
UF,UM Airlines,Ukraine,0,0.0,0
AX,Trans States Airlines,United States,0,0.0,0
US,US Airways,United States,1960,0.7890499195,10
PS,Ukraine International Airlines,Ukraine,127,0.0511272142,3
UH,US Helicopter Corporation,United States,0,0.0,0
NN,VIM Airlines,Russia,0,0.0,0
VX,Virgin America,United States,66,0.0265700483,3
TV,Virgin Express,Belgium,42,0.0169082126,3
